S. no.,Name of City,State,Type,Population (2011),Population class
187,Rewa,Madhya Pradesh,Municipal Corporation / Corporation.,183274.0,
188,Unnao,Uttar Pradesh,Nagar Palika Parishad.,177658.0,Class I
189,Hugli-Chinsurah,West Bengal,Municipality,177209.0,Class I
190,Raiganj,West Bengal,Urban Agglomeration,175047.0,
191,Phusro,Jharkhand,Urban Agglomeration,174402.0,
192,Adityapur,Jharkhand,Nagar Panchayat.,174355.0,Class I
193,Alappuzha,Kerala,Municipality,174164.0,Class I
194,Bahadurgarh,Haryana,Municipal Council,170426.0,Class I
195,Machilipatnam,Andhra Pradesh,Municipality,170008.0,Class I
196,Rae Bareli,Uttar Pradesh,Municipal board,169333.0,
197,Jalpaiguri,West Bengal,Municipal Corporation / Corporation,169013.0,Class I
198,Bharuch,Gujarat,Municipality,168729.0,Class I
199,Pathankot,Punjab,Urban Agglomeration,168485.0,
200,Hoshiarpur,Punjab,Municipal Council,168443.0,Class I
201,Baramula,Jammu and Kashmir,Municipal Council,167986.0,Class I
202,Adoni,Andhra Pradesh,Municipality,166344.0,Class I
203,Jind,Haryana,Municipal Council,166225.0,Class I
204,Tonk,Rajasthan,Municipal Council,165363.0,Class I
205,Tenali,Andhra Pradesh,Municipality,164649.0,Class I
206,Kancheepuram,Tamil Nadu,Municipality,164265.0,Class I
207,Vapi,Gujarat,Municipality,163630.0,Class I
208,Sirsa,Haryana,Municipal Council,160735.0,
209,Navsari,Gujarat,Municipality,160100.0,Class I
210,Mahbubnagar,Telangana,Municipality,157902.0,Class I
211,Puri,Odisha,Municipality,157837.0,
212,Robertson Pet,Karnataka,Urban Agglomeration,157084.0,
213,Erode,Tamil Nadu,Municipal Corporation / Corporation.,156953.0,Class I
214,Batala,Punjab,Municipal Council,156400.0,Class I
215,Haldwani-cum-Kathgodam,Uttarakhand,Nagar Palika Parishad,156060.0,Class I
216,Vidisha,Madhya Pradesh,Municipality,155959.0,Class I
217,Saharsa,Bihar,Nagar Panchayat,155175.0,Class I
218,Thanesar,Haryana,Municipal Council,154962.0,Class I
219,Chittoor,Andhra Pradesh,Municipal Corporation / Corporation.,153766.0,Class I
220,Veraval,Gujarat,Municipality,153696.0,Class I
221,Lakhimpur,Uttar Pradesh,Nagar Palika Parishad,152010.0,Class I
222,Sitapur,Uttar Pradesh,Municipal board,151908.0,
223,Hindupur,Andhra Pradesh,Municipality,151835.0,Class I
224,Santipur,West Bengal,Municipality,151774.0,Class I
225,Balurghat,West Bengal,Municipality,151183.0,Class I
226,Ganjbasoda,Madhya Pradesh,Nagar Panchayat.,150454.0,Class I
227,Moga,Punjab,Municipal Council,150432.0,Class I
228,Proddatur,Andhra Pradesh,Municipality,150309.0,
229,Srinagar,Uttarakhand,,150000.0,
230,Medinipur,West Bengal,Municipality,149769.0,
231,Habra,West Bengal,Municipality,149675.0,Class II
232,Sasaram,Bihar,Nagar Panchayat,147396.0,Class I
233,Hajipur,Bihar,Nagar Panchayat,147126.0,Class I
234,Bhuj,Gujarat,Municipality,147123.0,Class I
235,Shivpuri,Madhya Pradesh,Municipality,146892.0,
236,Ranaghat,West Bengal,Urban Agglomeration,145285.0,
237,Shimla,Himachal Pradesh,Urban Agglomeration,144975.0,
238,Tiruvannamalai,Tamil Nadu,Municipality,144683.0,Class I
239,Kaithal,Haryana,Municipal Council,144633.0,Class I
240,Rajnandgaon,Chhattisgarh,Municipal Corporation / Corporation.,143770.0,
241,Godhra,Gujarat,Municipality,143126.0,Class I
242,Hazaribag,Jharkhand,Nagar Panchayat,142494.0,Class I
243,Bhimavaram,Andhra Pradesh,Municipality,142280.0,Class I
244,Mandsaur,Madhya Pradesh,Municipality,141468.0,Class I
245,Dibrugarh,Assam,Municipal board,138661.0,Class I
246,Kolar,Karnataka,City Municipal Council,138553.0,Class I
247,Bankura,West Bengal,Municipality,138036.0,Class I
248,Mandya,Karnataka,City Municipal Council,137735.0,Class I
249,Dehri-on-Sone,Bihar,Nagar Panchayat,137068.0,Class I
250,Madanapalle,Andhra Pradesh,Municipality,135669.0,Class I
251,Malerkotla,Punjab,Municipal Council,135330.0,Class I
252,Lalitpur,Uttar Pradesh,Nagar Palika Parishad,133041.0,Class I
253,Bettiah,Bihar,Nagar Panchayat,132896.0,Class I
254,Pollachi,Tamil Nadu,Urban Agglomeration,128458.0,
255,Khanna,Punjab,Municipal Council,128130.0,Class I
256,Neemuch,Madhya Pradesh,Municipality,128108.0,Class I
257,Palwal,Haryana,Municipal Council,127931.0,Class I
258,Palanpur,Gujarat,Municipality,127125.0,Class I
259,Guntakal,Andhra Pradesh,Municipality,126479.0,Class I
260,Nabadwip,West Bengal,Municipality,125528.0,Class I
261,Udupi,Karnataka,City Municipal Council.,125350.0,Class I
262,Jagdalpur,Chhattisgarh,Municipal Corporation / Corporation,125345.0,Class I
263,Motihari,Bihar,Nagar Panchayat,125183.0,Class I
264,Pilibhit,Uttar Pradesh,Municipal board,124245.0,
265,Dimapur,Nagaland,Municipal Committee,123777.0,Class I
266,Mohali,Punjab,Municipal Council,123484.0,
267,Sadulpur,Rajasthan,Municipality,122326.0,
268,Rajapalayam,Tamil Nadu,Municipality,122307.0,
269,Dharmavaram,Andhra Pradesh,Municipality,121992.0,Class I
270,Kashipur,Uttarakhand,Nagar Palika Parishad.,121610.0,Class I
271,Sivakasi,Tamil Nadu,Urban Agglomeration,121358.0,
272,Darjiling,West Bengal,Municipality,120414.0,Class I
273,Chikkamagaluru,Karnataka,City Municipal Council,118496.0,Class I
274,Gudivada,Andhra Pradesh,Municipality,118289.0,Class I
275,Baleshwar Town,Odisha,Municipality,118202.0,Class I
276,Mancherial,Telangana,Urban Agglomeration,118195.0,
277,Srikakulam,Andhra Pradesh,Urban Agglomeration,117320.0,
278,Adilabad,Telangana,Municipality,117167.0,Class I
279,Yavatmal,Maharashtra,Municipal Council,116714.0,Class I
280,Barnala,Punjab,Municipal Council,116454.0,Class I
281,Nagaon,Assam,Municipal board,116355.0,Class I
282,Narasaraopet,Andhra Pradesh,Municipality,116329.0,Class I
283,Raigarh,Chhattisgarh,Urban Agglomeration,115908.0,
284,Roorkee,Uttarakhand,Urban Agglomeration,115278.0,
285,Valsad,Gujarat,Municipality,114636.0,Class I
286,Ambikapur,Chhattisgarh,Municipal Corporation / Corporation.,114575.0,Class I
287,Giridih,Jharkhand,Town Panchayat,114447.0,Class I
288,Chandausi,Uttar Pradesh,Nagar Palika Parishad,114254.0,Class I
289,Purulia,West Bengal,Municipality,113806.0,
290,Patan,Gujarat,Urban Agglomeration,113749.0,
291,Bagaha,Bihar,Nagar Panchayat,113012.0,Class I
292,Hardoi ,Uttar Pradesh,Municipality,112486.0,Class II
293,Achalpur,Maharashtra,Municipal Council,112293.0,Class I
294,Osmanabad,Maharashtra,Municipal Council,112085.0,Class I
295,Deesa,Gujarat,,111149.0,Class I
296,Nandurbar,Maharashtra,Municipal Council,111067.0,Class I
297,Azamgarh,Uttar Pradesh,P.,110980.0,Class I
298,Ramgarh,Jharkhand,Urban Agglomeration,110496.0,
299,Firozpur,Punjab,Municipal Council,110091.0,Class I
300,Baripada Town,Odisha,Municipality,110058.0,Class I
301,Karwar,Karnataka,City Municipal Council,110000.0,Class I
302,Siwan,Bihar,Municipality,109919.0,
303,Rajampet,Andhra Pradesh,Municipality,109575.0,
304,Pudukkottai,Tamil Nadu,Municipality,109217.0,
305,Anantnag,Jammu and Kashmir,Municipal Council,108505.0,Class I
306,Tadpatri,Andhra Pradesh,Municipality,108249.0,Class I
307,Satara,Maharashtra,Municipal Council,108048.0,
308,Bhadrak,Odisha,Municipality,107369.0,Class I
309,Kishanganj,Bihar,Nagar Panchayat,107076.0,Class I
310,Suryapet,Telangana,Urban Agglomeration,106524.0,
311,Wardha,Maharashtra,Municipal Council,106444.0,Class I
312,Ranebennuru,Karnataka,City Municipal Council,106365.0,
313,Amreli,Gujarat,Municipality,105980.0,Class I
314,Neyveli (TS),Tamil Nadu,Census town,105687.0,Class I
315,Jamalpur,Bihar,Nagar Panchayat,105221.0,Class I
316,Marmagao,Goa,Urban Agglomeration,104758.0,
317,Udgir,Maharashtra,Municipal Council,104063.0,Class I
318,Tadepalligudem,Andhra Pradesh,Municipality,103577.0,Class I
319,Nagapattinam,Tamil Nadu,Municipality,102838.0,Class I
320,Buxar,Bihar,Nagar Panchayat,102591.0,Class I
321,Aurangabad,Maharashtra,Municipal Corporation / Corporation.,102520.0,Class I
322,Jehanabad,Bihar,Nagar Panchayat,102456.0,Class I
323,Phagwara,Punjab,Urban Agglomeration,102253.0,
324,Khair,Uttar Pradesh,Nagar Palika Parishad,102106.0,Class II
325,Sawai Madhopur,Rajasthan,Urban Agglomeration,101997.0,
326,Kapurthala,Punjab,Municipal Council,101654.0,Class I
327,Chilakaluripet,Andhra Pradesh,Municipality,101550.0,Class I
328,Aurangabad,Bihar,Nagar Panchayat.,101520.0,Class I
329,Malappuram,Kerala,Municipality,101330.0,Class I
330,Rewari,Haryana,Municipal Council,100684.0,
331,Nagaur,Rajasthan,Municipality,100618.0,Class I
332,Sultanpur,Uttar Pradesh,Municipal board,100065.0,
333,Nagda,Madhya Pradesh,Municipality,100036.0,Class I
334,Port Blair,Andaman and Nicobar Islands,Municipal Council,99984.0,
335,Lakhisarai,Bihar,Nagar Panchayat,99979.0,Class II
336,Panaji,Goa,Urban Agglomeration,99677.0,
337,Tinsukia,Assam,Municipal board.,99448.0,Class II
338,Itarsi,Madhya Pradesh,Municipality,99329.0,Class II
339,Kohima,Nagaland,Municipal Committee,99039.0,Class II
340,Balangir,Odisha,Municipality,98238.0,Class II
341,Nawada,Bihar,Nagar Parishad,98029.0,Class II
342,Jharsuguda,Odisha,Municipality,97730.0,Class II
343,Jagtial,Telangana,Municipality,96460.0,Class II
344,Viluppuram,Tamil Nadu,Municipality,96253.0,Class II
345,Amalner,Maharashtra,Municipal Council,95994.0,Class II
346,Zirakpur,Punjab,Municipal Council,95553.0,Class II
347,Tanda,Uttar Pradesh,Municipal board,95516.0,Class II
348,Tiruchengode,Tamil Nadu,Municipality,95335.0,Class II
349,Nagina,Uttar Pradesh,Nagar Palika Parishad,95246.0,Class II
350,Yemmiganur,Andhra Pradesh,Municipality,95149.0,Class II
351,Vaniyambadi,Tamil Nadu,Municipality,95061.0,Class II
352,Sarni,Madhya Pradesh,Municipality,95012.0,
353,Theni Allinagaram,Tamil Nadu,Municipality,94453.0,Class II
354,Margao,Goa,Urban Agglomeration,94383.0,
355,Akot,Maharashtra,Municipal Council,92637.0,Class II
356,Sehore,Madhya Pradesh,Urban Agglomeration,92518.0,
357,Mhow Cantonment,Madhya Pradesh,Urban Agglomeration,92364.0,
358,Kot Kapura,Punjab,Municipal Council,91979.0,Class II
359,Makrana,Rajasthan,Urban Agglomeration,91853.0,
360,Pandharpur,Maharashtra,Municipal Council,91379.0,
361,Miryalaguda,Telangana,Urban Agglomeration,91359.0,
362,Shamli,Uttar Pradesh,Municipal board,90055.0,
363,Seoni,Madhya Pradesh,Municipality,89801.0,
364,Ranibennur,Karnataka,City Municipal Council,89618.0,
365,Kadiri,Andhra Pradesh,Municipality,89429.0,Class II
366,Shrirampur,Maharashtra,Urban Agglomeration,88761.0,
367,Rudrapur,Uttarakhand,Municipal board,88676.0,
368,Parli,Maharashtra,Municipal Council,88537.0,
369,Najibabad,Uttar Pradesh,Municipal board,88535.0,Class II
370,Nirmal,Telangana,Municipality,88433.0,Class II
371,Udhagamandalam,Tamil Nadu,Municipality,88430.0,Class II
372,Shikohabad,Uttar Pradesh,Municipal board,88161.0,
373,Jhumri Tilaiya,Jharkhand,Nagar Panchayat,87867.0,Class II
374,Aruppukkottai,Tamil Nadu,Municipality,87722.0,Class II
375,Ponnani,Kerala,Municipality,87495.0,
376,Jamui,Bihar,Nagar Panchayat,87357.0,Class II
377,Sitamarhi,Bihar,Urban Agglomeration,87279.0,
378,Chirala,Andhra Pradesh,Municipality,87200.0,Class II
379,Anjar,Gujarat,Municipality,87183.0,Class II
380,Karaikal,Puducherry,Municipality,86838.0,Class II
381,Hansi,Haryana,Municipal Council,86770.0,Class II
382,Anakapalle,Andhra Pradesh,Municipality,86519.0,Class II
383,Mahasamund,Chhattisgarh,Municipality,85650.0,Class II
384,Faridkot,Punjab,Municipal Council,85435.0,Class II
385,Saunda,Jharkhand,Census town,85075.0,
386,Dhoraji,Gujarat,Municipality,84545.0,Class II
387,Paramakudi,Tamil Nadu,Municipality,84321.0,
388,Balaghat,Madhya Pradesh,Municipality,84261.0,Class II
389,Sujangarh,Rajasthan,Municipality,83846.0,
390,Khambhat,Gujarat,Municipality,83715.0,Class II
391,Muktsar,Punjab,Municipal Council,83655.0,
392,Rajpura,Punjab,Municipal Council,82956.0,
393,Kavali,Andhra Pradesh,Municipality,82336.0,Class II
394,Dhamtari,Chhattisgarh,Municipality,82111.0,Class II
395,Ashok Nagar,Madhya Pradesh,Municipality,81828.0,Class II
396,Sardarshahar,Rajasthan,Municipality,81394.0,
397,Mahuva,Gujarat,Urban Agglomeration,80726.0,
398,Bargarh,Odisha,Municipality,80625.0,Class II
399,Kamareddy,Telangana,Municipality,80315.0,Class II
400,Sahibganj,Jharkhand,Municipality,80154.0,
401,Kothagudem,Telangana,Municipality,79819.0,Class II
402,Ramanagaram,Karnataka,City Municipal Council,79394.0,
403,Gokak,Karnataka,City Municipal Council,79121.0,Class II
404,Tikamgarh,Madhya Pradesh,Municipality,79106.0,Class II
405,Araria,Bihar,Nagar Panchayat.,79021.0,Class II
406,Rishikesh,Uttarakhand,Urban Agglomeration,78805.0,
407,Shahdol,Madhya Pradesh,Municipality,78624.0,
408,Medininagar (Daltonganj),Jharkhand,Nagar Parishad,78396.0,Class II
409,Arakkonam,Tamil Nadu,Municipality,78395.0,Class II
410,Washim,Maharashtra,Municipal Council,78387.0,Class II
411,Sangrur,Punjab,Municipal Council,77989.0,
412,Bodhan,Telangana,Municipality,77573.0,Class II
413,Fazilka,Punjab,Municipal Council,76492.0,Class II
414,Palacole,Andhra Pradesh,Urban Agglomeration,76308.0,
415,Keshod,Gujarat,Municipality,76193.0,Class II
416,Sullurpeta,Andhra Pradesh,Municipality,75925.0,
417,Wadhwan,Gujarat,Municipality,75755.0,Class II
418,Gurdaspur,Punjab,Municipal Council,75549.0,Class II
419,Vatakara,Kerala,Municipality,75295.0,Class II
420,Tura,Meghalaya,Municipality,74858.0,Class II
421,Narnaul,Haryana,Municipal Council,74581.0,Class II
422,Kharar,Punjab,Municipal Council,74460.0,Class II
423,Yadgir,Karnataka,City Municipal Council,74294.0,Class II
424,Ambejogai,Maharashtra,Municipal Council,73975.0,Class II
425,Ankleshwar,Gujarat,Municipality,73928.0,Class II
